Post ID,Creator ID,Content,Creation Date,Shared With
1001,1,"Post by Ahmed",2025-03-19,14,18
1002,1,"Post by Ahmed",2025-03-03,8,18
1003,1,"Post by Ahmed",2025-03-21,12,6
1004,1,"Post by Ahmed",2025-03-18,29,17
1005,1,"Post by Ahmed",2025-03-08,20,13
1006,1,"Post by Ahmed",2025-03-22,14,13
1007,1,"Post by Ahmed",2025-03-05,15,6
1008,2,"Post by Fatima",2025-03-08,26,11
1009,2,"Post by Fatima",2025-03-25,18,11
1010,2,"Post by Fatima",2025-03-26,23,27
1011,2,"Post by Fatima",2025-03-09,10,7
1012,2,"Post by Fatima",2025-03-22,30,7
1013,2,"Post by Fatima",2025-03-18,26,29
1014,2,"Post by Fatima",2025-03-09,12,9
1015,3,"Post by Khaled",2025-03-01,19,7
1016,3,"Post by Khaled",2025-03-27,25,29
1017,3,"Post by Khaled",2025-03-09,12,21
1018,3,"Post by Khaled",2025-03-06,16,5
1019,3,"Post by Khaled",2025-03-04,19,29
1020,3,"Post by Khaled",2025-03-11,16,29
1021,3,"Post by Khaled",2025-03-14,14,20
1022,4,"Post by Layla",2025-03-27,24,17
1023,4,"Post by Layla",2025-03-23,30,20
1024,4,"Post by Layla",2025-03-26,19,8
1025,4,"Post by Layla",2025-03-31,19,17
1026,4,"Post by Layla",2025-03-15,11,27
1027,4,"Post by Layla",2025-03-13,28,14
1028,4,"Post by Layla",2025-03-26,26,7
1029,5,"Post by Sara",2025-03-02,24,30
1030,5,"Post by Sara",2025-03-14,11,7
1031,5,"Post by Sara",2025-03-26,26,17
1032,5,"Post by Sara",2025-03-20,10,19
1033,5,"Post by Sara",2025-03-20,12,18
1034,5,"Post by Sara",2025-03-28,14,1
1035,5,"Post by Sara",2025-03-13,12,26
1036,6,"Post by Omar",2025-03-01,27,2
1037,6,"Post by Omar",2025-03-27,17,22
1038,6,"Post by Omar",2025-03-07,4,23
1039,6,"Post by Omar",2025-03-31,27,16
1040,6,"Post by Omar",2025-03-12,25,23
1041,6,"Post by Omar",2025-03-08,13,14
